"Date","Type","Transaction ID","Received Quantity","Received Currency","Received Currency Balance","Received Cost Basis (USD)","Received Wallet","Received Address","Received Tag","Received Comment","Sent Quantity","Sent Currency","Sent Currency Balance","Sent Cost Basis (USD)","Sent Wallet","Sent Address","Sent Tag","Sent Comment","Fee Amount","Fee Currency","Realized Return (USD)","Disabled"
06/17/2020 06:18:26,Buy,,0.00094832,BTC,0.32800869,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
06/17/2020 09:07:06,Buy,,50.00000000,LINK,50.00000000,207.91,Coinbase - LINK Wallet,,,Bought Chainlink Using Chase - mwk *****0519,207.91,USD,,,Coinbase - Cash (USD),,,Bought Chainlink Using Chase - mwk *****0519,3.05,USD,,
06/17/2020 09:09:03,Buy,,100.00000000,XTZ,100.00000000,270.44,Coinbase - XTZ Wallet,,,Bought Tezos Using Chase - mwk *****0519,270.44,USD,,,Coinbase - Cash (USD),,,Bought Tezos Using Chase - mwk *****0519,3.97,USD,,
06/17/2020 09:10:39,Buy,,2.09553694,ETH,2.09553694,500.00,Coinbase - ETH Wallet,,,Bought Ethereum Using Chase - mwk *****0519,500.00,USD,,,Coinbase - Cash (USD),,,Bought Ethereum Using Chase - mwk *****0519,7.34,USD,,
06/17/2020 09:24:01,Buy,,1003.73707500,XRP,1003.73707500,200.00,Coinbase - XRP Wallet,,,Bought XRP Using Chase - mwk *****0519,200.00,USD,,,Coinbase - Cash (USD),,,Bought XRP Using Chase - mwk *****0519,2.99,USD,,
06/18/2020 06:13:40,Buy,,0.00095305,BTC,0.32896174,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
06/19/2020 06:19:41,Buy,,0.00096346,BTC,0.32992520,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
06/20/2020 05:54:31,Buy,,0.00096414,BTC,0.33088934,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
06/21/2020 05:30:34,Buy,,0.00095711,BTC,0.33184645,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
06/22/2020 06:18:34,Buy,,0.00095279,BTC,0.33279924,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
